sentence,label_string,label_numeric
Wahlprogramm von CDU und CSU Inhal,Keine Behauptung,0
"I. Für ein Deutschland, auf das wir wieder stolz sein können .",Keine Behauptung,0
"Unser Plan für ein Land, das wieder Wohlstand für alle schafft .",Keine Behauptung,0
"Ja zu bezahlbarer, sicherer und sauberer Energie .",Keine Behauptung,0
Ja zu marktwirtschaftlichem Klima und Umweltschutz .,Keine Behauptung,0
"Ja zu Forschung, Innovationen und neuen Technologien .",Keine Behauptung,0
Ja zu einem starken und gerechten Sozialstaat .,Keine Behauptung,0
"Ja zu mehr Eigentum, Vermögensbildung und sicherer Altersvorsorge . .",Keine Behauptung,0
"Unser Plan für ein Land, das frei und wieder sicher ist .",Keine Behauptung,0
Ja zum Stopp der illegalen Migration . .,Keine Behauptung,0
Ja zu einer voll verteidigungsfähigen Bundeswehr .,Keine Behauptung,0
"Unser Plan für ein Land, das wieder zusammenhält .",Keine Behauptung,0
Ja zu leistungsstarker beruflicher und akademischer Bildung .,Keine Behauptung,0
"Ja zu bezahlbarem Bauen, Wohnen und zukunftsfähiger Mobilität . .",Keine Behauptung,0
Ja zu einem funktionierenden Staat – das ist unser Zukunftsversprechen . .,Keine Behauptung,0
"Wir alle wissen, wie es um unser Land steht – und dass es so nicht weitergehen kann.",Behauptung,1
"Zu Recht wird von jeder Bundesregierung erwartet, dass es am Ende ihrer Amtszeit Land und Leuten besser geht.",Keine Behauptung,0
Die Ampel hat diese Erwartungen enttäuscht.,Behauptung,1
Hinter Deutschland liegen drei verlorene Jahre – und vor uns historisch große Herausforderungen .,Behauptung,1
"Es geht um unsere Freiheit, es geht um Frieden, Wohlstand, Sicherheit und den Zusammenhalt unserer Gesellschaft .",Keine Behauptung,0
"Wir wissen zugleich um die Kraft, die in unserem Land und in jedem Einzelnen von uns steckt.",Behauptung,1
"Wir haben alles, um Deutschland wieder nach vorne zu bringen.",Behauptung,1
"Dafür braucht unser Land eine Bundesregierung, die wieder die wirklich wichtigen Dinge anpackt: die Sicherung des Friedens in Freiheit, Wohlstand für alle , Sicherheit und Zusammenhalt.",Keine Behauptung,0
Unser Land braucht Stabilität und Aufbruch .,Behauptung,1
Unser Land braucht einen Politikwechsel!,Behauptung,1
"Mit einer neuen Politik können wir dafür sorgen, dass Deutsch land wieder nach vorne kommt.",Behauptung,1
Für ein neues Wohlstandsversprechen Deutschland brauch t wieder eine Politik für die hart arbeitende Bevölkerung – eine Agenda für die Fleißigen.,Behauptung,1
